Model,PCA_Components,Best_Params,Best_Score,Precision,Recall,F1_Score,Macro_F1_Score,Weighted_F1_Score,Train_Time,Predict_Time
EVA02-E-14-plus_laion2b_s9b_b144k,40,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.953544685,0.963559533,0.944173811,0.953768177,0.89613833,0.952486513,2666.447104,2.530518532
EVA02-E-14-plus_laion2b_s9b_b144k,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.953575658,0.963281541,0.9437841,0.953433152,0.89376466,0.952101094,3297.159497,3.337809563
EVA02-E-14-plus_laion2b_s9b_b144k,70,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.95366633,0.964033078,0.942712393,0.953253534,0.892550615,0.951841279,3767.873077,3.288547516
EVA02-E-14-plus_laion2b_s9b_b144k,60,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.953644416,0.96367665,0.942809821,0.95312904,0.893539862,0.951801418,3242.678149,2.83158946
EVA02-E-14_laion2b_s4b_b115k,40,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.952288163,0.964191312,0.941511639,0.952716521,0.891154104,0.95122834,2508.852633,3.931988955
EVA02-E-14_laion2b_s4b_b115k,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.952723646,0.964439897,0.941073342,0.952613352,0.891800263,0.951110744,3187.334214,3.406536341
EVA02-E-14_laion2b_s4b_b115k,70,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.952653673,0.965488784,0.940074998,0.952612424,0.891628494,0.951088015,3727.929565,2.222533941
EVA02-E-14_laion2b_s4b_b115k,60,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.952636713,0.964323138,0.941170741,0.952606285,0.889649754,0.951064678,3226.434544,3.882963181
EVA02-E-14-plus_laion2b_s9b_b144k,30,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.953452976,0.962074707,0.942882892,0.952382124,0.892408901,0.951099932,2022.441838,2.311132669
EVA02-E-14_laion2b_s4b_b115k,30,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.952306897,0.963505833,0.941170741,0.952207331,0.888450255,0.950676497,2347.421228,4.261375427
ViT-L-14-quickgelu_dfn2b,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.951144865,0.96452495,0.939676875,0.951938791,0.885197041,0.950280944,3207.142935,2.822336197
ViT-L-14-quickgelu_dfn2b,70,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.950819751,0.964543812,0.939530223,0.951872717,0.88245402,0.950124953,3698.643636,2.754975319
ViT-L-14-quickgelu_dfn2b,40,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.951307913,0.963816779,0.940141275,0.951831826,0.884672898,0.950157932,2587.324336,3.527917862
ViT-L-14-quickgelu_dfn2b,30,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.950812786,0.963391426,0.940385696,0.951749558,0.882217333,0.950143507,2027.353027,2.358989954
ViT-L-14-quickgelu_dfn2b,60,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.950955258,0.964283025,0.939016938,0.95148228,0.882675288,0.949762276,3159.956796,2.685557842
RN50-quickgelu_openai,60,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.94605748,0.962836309,0.932586459,0.947469999,0.853901946,0.944810979,3160.344522,3.649631739
RN50-quickgelu_openai,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.946525952,0.96154618,0.933584998,0.947359316,0.856344534,0.944888048,3112.77697,2.705255032
RN50-quickgelu_openai,70,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.9459866,0.962571687,0.932001948,0.94704019,0.852577845,0.944385411,3477.536527,2.11501503
RN101-quickgelu_openai,50,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.945971323,0.960056097,0.934272415,0.946988785,0.868778036,0.94484257,3203.652143,4.146175861
RN50_openai,40,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.946208859,0.961810786,0.932270625,0.946810351,0.850731034,0.944209072,2721.056461,2.704023838
RN50_openai,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.946487198,0.961321394,0.932708688,0.946798918,0.853126885,0.944356555,3136.038597,2.32910347
RN50-quickgelu_openai,30,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.945952648,0.960712047,0.933219679,0.946766323,0.8484068,0.944085471,2314.574165,3.433870077
RN101_openai,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.945981861,0.95900677,0.934404284,0.946545688,0.865196445,0.944219601,3151.72824,4.099466324
RN101_openai,60,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.945382375,0.960114174,0.933333333,0.94653436,0.863579315,0.944020902,3158.832054,2.9085958
RN50-quickgelu_openai,40,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.946061396,0.961182113,0.932318558,0.946530345,0.851222648,0.943861921,2597.343153,3.303239822
RN50_openai,70,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.946351644,0.962324891,0.931199805,0.946506537,0.850011939,0.94383023,3543.75538,2.862006664
RN50_openai,60,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.946165237,0.963115064,0.93032368,0.946435424,0.848023146,0.943756529,3090.609553,2.850594282
RN101_openai,70,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.945416008,0.960007012,0.933065596,0.946344594,0.865151257,0.943894435,3614.063402,2.905822039
RN101_openai,40,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.945597345,0.959020902,0.933601071,0.946140279,0.867100504,0.943826038,2486.254719,2.596294165
RN101-quickgelu_openai,30,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.945292933,0.958577217,0.933931226,0.94609374,0.868991383,0.944057444,2211.996253,2.514010668
RN101-quickgelu_openai,40,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.945348589,0.959400531,0.932956401,0.945993699,0.865630886,0.94377244,2571.26751,2.998128176
RN101_openai,30,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.945423614,0.958226173,0.934063527,0.945990583,0.868115454,0.94377708,2256.785868,3.169624805
RN101-quickgelu_openai,70,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.945513514,0.959649915,0.932590842,0.945926906,0.864166725,0.943572894,3626.741304,2.875738859
RN50_openai,30,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.945475263,0.96054514,0.9313945,0.945745246,0.84215157,0.942992578,2005.234098,2.701527119
RN101-quickgelu_openai,60,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.945564897,0.95935204,0.932371506,0.945669369,0.86677819,0.943438804,3156.359023,3.681767941
RN50_yfcc15m,30,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.754358172,0.865699069,0.676804325,0.759685685,0.421556233,0.712977759,2727.193693,6.519230843
RN50_yfcc15m,40,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.752634941,0.86565853,0.671861303,0.756546297,0.414038579,0.706485196,3218.824562,5.084231377
RN50_yfcc15m,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.750677526,0.864886986,0.66898802,0.754427877,0.40567879,0.702406055,3578.743639,5.700949907
RN101_yfcc15m,40,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.748379828,0.855643126,0.670826719,0.752046656,0.401511091,0.697853538,3343.48573,7.659239292
RN50_yfcc15m,60,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.745128176,0.866681512,0.663411902,0.751544742,0.396697722,0.695311432,3547.935824,4.205983162
RN101_yfcc15m,30,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.748121134,0.851413707,0.671461717,0.750805615,0.408945944,0.697346811,2904.892112,8.467328072
RN101_yfcc15m,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.744991681,0.856967638,0.665502503,0.749195788,0.392595965,0.691482794,3640.358096,4.674583435
RN50_yfcc15m,70,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.742575748,0.865588988,0.658444531,0.74793937,0.385802175,0.689377062,3483.446187,4.582383394
RN101_yfcc15m,60,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.739072234,0.855478599,0.654609842,0.741684653,0.374284958,0.679119431,3687.598257,4.832598448
RN101_yfcc15m,70,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.73702855,0.85591453,0.651556967,0.739884072,0.371700779,0.675770068,3666.551762,4.963432312
RN50-quickgelu_cc12m,30,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.726354079,0.844481498,0.643015846,0.730105485,0.343211225,0.663867657,2430.555071,7.676145315
RN50-quickgelu_cc12m,40,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.723354168,0.847635442,0.637180458,0.727493205,0.335118691,0.657366686,3251.26721,6.098774672
RN50-quickgelu_cc12m,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.71983421,0.846850097,0.630490514,0.722827152,0.3267152,0.649274345,3624.626863,6.114859581
RN50-quickgelu_cc12m,60,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.714910483,0.84901212,0.624264472,0.719495723,0.318771258,0.642849939,3610.957185,7.133520126
RN50-quickgelu_cc12m,70,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.711359698,0.849939573,0.61816051,0.715753764,0.309091319,0.635855948,3528.813154,4.88243866
